ID	String	Description	Type	Comment	Link1	Link2
id_a_f_27	Ad Muncher v4.xx.x	Ad Muncher - banner killer	P		http://www.admuncher.com/	
id_a_f_28	Ad Muncher v4x Build xxxxx	Ad Muncher - banner killer	P		http://www.admuncher.com/	
id_a_f_061006_1	Adaxas Spider (http://www.adaxas.net/)	website directory adaxas link checking	C	85.10.199.xx	http://www.adaxas.net/	
id_a_f_29	Advanced Browser (http://www.avantbrowser.com)	Avant Browser - IE based browser	B		http://www.avantbrowser.com	
id_a_f_30	AESOP_com_SpiderMan	Aesop robot	R		http://www.aesop.com	
id_a_f_31	agadine/1.x.x (+http://www.agada.de)	Agada search (Germany) robot	R	s. also Mozilla/4.0 (agadine3.0)	http://www.agada.de	
id_a_f_32	Agent-SharewarePlazaFileCheckBot/2.0+(+http://www.SharewarePlaza.com)	SharewarePlaza link checking	R		http://www.sharewareplaza.com	
id_a_f_33	AgentName/0.1 libwww-perl/5.48	Linkomatic submission verifier	R		http://www.linkomatic.com/	
id_a_f_34	AIBOT/2.1 By +(www.21seek.com A Real artificial intelligence search engine China)	21seek.com (China) robot (218.17.90.xxx)	R		http://www.21seek.com	
id_a_f_130807_1	AideRSS/1.0 (aiderss.com)	AideRss - Postrank RSS and Blog filtering	C	72.44.35.2xx	http://www.aiderss.com/	
id_a_f_35	aipbot/1.0 (aipbot; http://www.aipbot.com; aipbot@aipbot.com)	Nameprotect copyright search robot (24.177.134.x)	R	s. also - np/0.1_(np;_http://www.nameprotect.com... - abot/0.1 (abot; http://www.abot.com...	http://www.nameprotect.com/	
id_a_f_36	aipbot/2-beta (aipbot dev; http://aipbot.com; aipbot@aipbot.com)	Nameprotect copyright search robot (24.177.134.x)	R	s. also - np/0.1_(np;_http://www.nameprotect.com... - abot/0.1 (abot; http://www.abot.com...	http://www.nameprotect.com/	
id_a_f_291108_1	Akregator/1.2.9; librss/remnants	Akregator news feed reader for KDE	B		http://akregator.kde.org/	
id_a_f_37	Aladin/3.324	Aladin robot	R		http://www.aladin.de	
id_a_f_180408_1	Alcatel-BG3/1.0 UP.Browser/5.0.3.1.2	Phone.com UP.Browser for mobiles on Alcatel cellphone	B		http://www.openwave.com	
id_a_f_38	Aleksika Spider/1.0 (+http://www.aleksika.com/)	Aleksika Danmark - Search engine optimization spider	R		http://www.aleksika.com	
id_a_f_291108_2	AlertInfo 2.0 (Powered by Newsbrain)	Alertinfo - French version of Feedreader 3.xx	B		http://www.feedreader.com/	http://www.geste.fr/alertinfo/home.html
id_a_f_39	AlkalineBOT/1.3	Vestris robot	R		http://alkaline.vestris.com/	
id_a_f_40	AlkalineBOT/1.4 (1.4.0326.0 RTM)	Vestris robot	R		http://alkaline.vestris.com/	
id_a_f_41	Allesklar/0.1 libwww-perl/5.46	Allesklar.de robot	R		http://www.allesklar.de	
id_a_f_42	Alligator 1.31 (www.nearsoftware.com)	Alligator download manager	D		http://www.nearsoftware.com	
id_a_f_011108_1	Allrati/1.1 (+)	Unknown robot from Allrati.com	R	67.205.96.xxx/67.205.104.xx	http://www.allrati.com/	
id_a_f_43	AltaVista Intranet V2.0 AVS EVAL search@freeit.com	Altavista robot	R		http://www.altavista.com	
id_a_f_44	AltaVista Intranet V2.0 Compaq Altavista Eval sveand@altavista.net	Altavista robot	R		http://www.altavista.com	
id_a_f_45	AltaVista Intranet V2.0 evreka.com crawler@evreka.com	Altavista robot	R		http://www.altavista.com	
id_a_f_46	AltaVista V2.0B crawler@evreka.com	Altavista robot	R		http://www.altavista.com	
id_a_f_280209_1	amaya/x.xx libwww/x.x.x	Amaya - W3C's Editor/Browser	B		http://www.w3.org/Amaya/	
id_a_f_47	AmfibiBOT	Amfibi Search robot	R	64.111.217.9x	http://www.amfibi.com/	
id_a_f_48	Amfibibot/0.06 (Amfibi Web Search; http://www.amfibi.com; agent@amfibi.com)	Amfibi Search robot	R	64.111.217.9x	http://www.amfibi.com/	
id_a_f_141105_2	Amfibibot/0.07 (Amfibi Robot; http://www.amfibi.com; agent@amfibi.com)	Amfibi Search robot	R	64.111.217.9x	http://www.amfibi.com/	
id_a_f_49	amibot	amibot - Amidalla search engine robot (62.241.33.xx)	R	s. also libwww-perl/5.65	http://www.amidalla.com/	
id_a_f_50	Amiga-AWeb/3.4.167SE	AWeb Amiga browser	B		http://www.amitrix.com/aweb.html	
id_a_f_51	AmigaVoyager/3.4.4 (MorphOS/PPC native)	Voyager - Amiga browser	B		http://www.vapor.com/voyager/	
id_a_f_091205_1	AmiTCP Miami (AmigaOS 2.04)	Amiga Miami TCP Stack			http://home.ptd.net/~strdustr/amirc/Netware.html	
id_a_f_210608_1	Amoi 8512/R21.0 NF-Browser/3.3	NF embedded browser on Amois Skypephone	B		http://3skypephone.com/	
id_a_f_190206_3	amzn_assoc	Amazon.com robot for checking their affiliate sites	C	s. also aranhabot		
id_a_f_52	AnnoMille spider 0.1 alpha - http://www.annomille.it	Annomille Italian historical oriented robot	R		http://www.annomille.it	
id_a_f_53	annotate_google; http://ponderer.org/download/annotate_google.user.js	annotate Google - Firefox extension for annotating Google search results	B		http://ponderer.org/annotate_google	
id_a_f_54	Anonymized by ProxyOS: http://www.megaproxy.com	Megaproxy user	P		http://www.megaproxy.com	
id_a_f_55	Anonymizer/1.1	faked user agent				
id_a_f_56	AnswerBus (http://www.answerbus.com/)	AnswerBus natural language search using COLLATE technology	R		http://www.answerbus.com	http://collate.dfki.de/kurzdarstellung.html
id_a_f_57	AnswerChase PROve x.0	AnswerChase search tool			http://www.answerchase.com	
id_a_f_58	AnswerChase x.0	AnswerChase search tool			http://www.answerchase.com	
id_a_f_59	ANTFresco/x.xx	ANT Fresco Browser	B	s. also Mozilla/x.xx (compatible; ANTFresco....)	http://www.antlimited.com/products/fresco.htm	
id_a_f_60	antibot-V1.1.5/i586-linux-2.2	Antibot (discontinued) robot	R		http://www.antidot.net	
id_a_f_61	AnzwersCrawl/2.0 (anzwerscrawl@anzwers.com.au;Engine)	Anzwers (Yahoo) Australia robot	R		http://au.anzwers.yahoo.com/	
id_a_f_030206_1	Apexoo Spider 1.x	Apexoo Search spider	R	216.240.143.xx	http://www.apexoo.com/	
id_a_f_62	Aplix HTTP/1.0.1	JavaOS app. for SEGA Saturn Internet and Sanyo Internet-TV	B			
id_a_f_63	Aplix_SANYO_browser/1.x (Japanese)	JavaOS app. for Sanyo Internet-TV	B			
id_a_f_64	Aplix_SEGASATURN_browser/1.x (Japanese)	JavaOS app. for SEGA Saturn Internet	B			
id_a_f_65	Aport	Aport robot	R		http://www.aport.ru	
id_a_f_66	appie 1.1 (www.walhello.com)	Walhello Internet Search robot	R		http://www.walhello.com	
id_a_f_140608_1	Apple iPhone v1.1.4 CoreMedia v1.0.0.4A102	CoreMedia player on Apple iPhone	B		http://www.apple.com/iphone/	
id_a_f_070209_1	Apple-PubSub/65.1.1	PubSub - Mac OS X utility for managing RSS/Atom subscriptions via the PubSub framework	B		http://developer.apple.com/documentation/Darwin/Reference/ManPages/man1/pubsub.1.html	
id_a_f_120707_1	ArabyBot (compatible; Mozilla/5.0; GoogleBot; FAST Crawler 6.4; http://www.araby.com;)	Araby search - Arabia	R	209.85.31.2xx	http://www.araby.com/	
id_a_f_260608_1	ArachBot	Covac Arachnid Web Crawler	R	s.also Covac TexAs Arachbot	http://www.covac-software.com/	
id_a_f_67	Arachnoidea (arachnoidea@euroseek.com)	Euroseek spider	R		http://www.euroseek.com	
id_a_f_190206_2	aranhabot	Amazon.com robot for checking their affiliate sites	C	s. also amzn_assoc		
id_a_f_68	ArchitextSpider	Excite spider	R		http://www.excite.com	
id_a_f_69	archive.org_bot	Heritrix - The Internet Archive's open-source crawler (207.241.225.2xx)	R	s.also - InternetArchive/0.8-dev - Mozilla/5.0 (compatible;archive.org_bot/...	http://www.archive.org/	
id_a_f_70	Argus/1.1 (Nutch; http://www.simpy.com/bot.html; feedback at simpy dot com)	Simpy Bookmarklet crawler (69.55.233.xx)	C	s. also Simpy	http://www.simpy.com/	
id_a_f_031205_1	Arikus_Spider	Arikus inContext search engine software	R		http://www.arikus.com/inContext-enterprise.html	
id_a_f_210208_1	Arquivo-web-crawler  (compatible; heritrix/1.12.1 +http://arquivo-web.fccn.pt)	Tomba project: the Portuguese web archive	R	193.136.192.xx	http://arquivo-web.fccn.pt/	http://arquivo-web.fccn.pt/crawler?set_language=en
id_a_f_251007_1	ASAHA Search Engine Turkey V.001 (http://www.asaha.com/)	Asaha search robot (Turkey)	R	62.68.194.2xx	http://www.asaha.com/	
id_a_f_71	Asahina-Antenna/1.x	ASAHINA Antenna information detecting agent	R		http://masshy.fastwave.gr.jp/hina/release/	
id_a_f_72	Asahina-Antenna/1.x (libhina.pl/x.x ; libtime.pl/x.x)	ASAHINA Antenna information detecting agent	R		http://masshy.fastwave.gr.jp/hina/release/	
id_a_f_73	ask.24x.info	Ask 24x Info robot	R		http://ask.24x.info/	
id_a_f_74	AskAboutOil/0.06-rcp (Nutch; http://www.nutch.org/docs/en/bot.html; nutch-agent@askaboutoil.com)	Ask About Oil - Petroleum related search (24.227.212.xxx) using Nutch	R		http://askaboutoil.com/search.jsp	http://www.nutch.org
id_a_f_120806_1	asked/Nutch-0.8 (web crawler; http://asked.jp; epicurus at gmail dot com)	askEd! / Inferret search (Japan) robot using Nutch	R	131.112.125.1xx	http://asked.jp/	
id_a_f_75	ASPSeek/1.2.5	ASPSeek search engine software -Yahoo-Inc. / Telecom Canada robot	R		http://www.aspseek.org	
id_a_f_76	ASPseek/1.2.9d	Swsoft.net robot using Aspseek	R		http://www.aspseek.com	
id_a_f_77	ASPSeek/1.2.x	ASPSeek search engine software	R		http://www.aspseek.org	
id_a_f_78	ASPSeek/1.2.xa	ASPSeek search engine software	R		http://www.aspseek.org	
id_a_f_79	ASPseek/1.2.xx	ASPSeek search engine software	R		http://www.aspseek.org	
id_a_f_80	ASPSeek/1.2.xxpre	ASPSeek search engine software	R		http://www.aspseek.org	
id_a_f_81	ASSORT/0.10	Associative Sort robot	R	site is down	http://pcmath126.unice.fr/assort-robot.html	
id_a_f_82	asterias/2.0	Singingfish media spider (64.12.186.2xx) via AOL search	R	s. also Mozilla/4.0 (compatible; MSIE 6.0 compatible; Asterias Crawler ...	http://search.singingfish.com/sfw/home.jsp	
id_a_f_83	AtlocalBot/1.1 +(http://www.atlocal.com/local-web-site-owner.html)	Atlocal local business search robot	R		http://www.atlocal.com/	
id_a_f_041207_2	Atomic_Email_Hunter/4.0	Atomic Email Hunter email extracing and harvesting	S			
id_a_f_84	Atomz/1.0	Atomz robot	R		http://www.atomz.com	
id_a_f_85	atSpider/1.0	atSpider (ceased) email harvester / spambot	S			
id_a_f_060707_1	Attentio/Nutch-0.9-dev (Attentio's beta blog crawler; www.attentio.com; info@attentio.com)	Attentio social media monitoring and analysing	R	85.88.35.xx	http://www.attentio.com/	
id_a_f_231105_2	AU-MIC/2.0 MMP/2.0	Samsung SPH-A660 phone with Sprint software	B		http://www1.sprintpcs.com/explore/showcase/Showcase.jsp?scTopic=pcsVision	
id_a_f_240208_1	AUDIOVOX-SMT5600	Audiovox SMT5600 (AT&T) Smartphone mobile phone browser	B		http://www.audiovox.com/	http://www.audiovox.com/manuals/owners/SMT%205600%20QSG%209-7%20FINAL.pdf
id_a_f_86	augurfind	Augurnet Swiss (was www.augurnet.ch) search robot	R			
id_a_f_87	augurnfind V-1.x	Augurnet Swiss (was www.augurnet.ch) search robot	R			
id_a_f_88	autoemailspider	Auto Email Pro Email harvester	S	was http://autoemailspider.com - site is dead		
id_a_f_89	autohttp	Linkscan tool from Elsop	C	s. Linkscan/x ?	http://www.elsop.com/linkscan/	
id_a_f_050208_1	autowebdir 1.1 (www.autowebdir.com)	Autowebdir - The Automatically Generated Web Directory	R	84.104.43.x	http://www.autowebdir.com/	
id_a_f_90	AV Fetch 1.0	Altavista robot ??	R		http://www.altavista.com/	
id_a_f_91	Avant Browser (http://www.avantbrowser.com)	Avant Browser - IE based browser	B		http://www.avantbrowser.com	
id_a_f_92	AVSearch-1.0(peter.turney@nrc.ca)	National Research Council Canada robot	R		http://www.nrc-cnrc.gc.ca/main_e.html	
id_a_f_93	AVSearch-2.0-fusionIdx-14-CompetitorWebSites	Unknown robot from 205.203.108.xx (telerate.com)				
id_a_f_94	AVSearch-3.0(AltaVista/AVC)	Altavista robot	R		http://www.altavista.com/	
id_a_f_95	AWeb	AWeb Amiga browser	B		http://aweb.sunsite.dk/	
id_a_f_96	axadine/ (Axadine Crawler; http://www.axada.de/; )	Axada search Germany robot	R		http://www.axada.de	
id_a_f_97	AxmoRobot - Crawling your site for better indexing on www.axmo.com search engine.	Axmo search robot	R		http://www.axmo.com	
id_a_f_250306_1	Azureus 2.x.x.x	Azureus Java BitTorrent Client	D		http://azureus.sourceforge.net/	
id_a_f_131208_1	BabalooSpider/1.3 (BabalooSpider; http://www.babaloo.si; spider@babaloo.si)	Babaloo search robot (Slovenia)	R	84.255.237.2xx	http://www.babaloo.si/	
id_a_f_98	BaboomBot/1.x.x (+http://www.baboom.us)	BaBoom Web Portal (ODP) robot (66.98.254.xx)	R		http://www.baboom.us	
id_a_f_050406_1	BackStreet Browser 3.x	BackStreet Browser - Offline browser / website downloader	D		http://www.spadixbd.com/backstreet/	
id_a_f_140508_1	BaiduImagespider+(+http://www.baidu.jp/search/s308.html)	Baidu search (Japan) image crawler	R	119.63.193.94.[x]xx	http://www.baidu.jp/	
id_a_f_99	BaiDuSpider	Baidu spidering engine - used by diff. IPs	R		http://www.baidu.com	
id_a_f_080608_1	Baiduspider+(+http://help.baidu.jp/system/05.html)	Baidu spidering engine - used by diff. IPs	R		http://www.baidu.com	
id_a_f_100	Baiduspider+(+http://www.baidu.com/search/spider.htm)	Baidu spidering engine - used by diff. IPs	R		http://www.baidu.com	
id_a_f_080407_1	Baiduspider+(+http://www.baidu.com/search/spider_jp.html)	Baidu search (Japan) crawler	R	119.63.193.[x]xx	http://www.baidu.jp	
id_a_f_031107_1	Balihoo/Nutch-1.0-dev (Crawler for Balihoo.com search engine - obeys robots.txt and robots meta tags ; http://balihoo.com/index.aspx; robot at balihoo dot com)	Balihoo - Vertical search engine crawler (beta)	R		http://www.balihoo.com/	http://www.balihoo.com/pdfs/BalihooFactSheet.pdf
id_a_f_101	BanBots/1.2 (spider@banbots.com)	Project BanBots Perl script robot	C	s. also Mozilla/5.0 (compatible; BanBots/2.0b..	http://www.banbots.com/	
id_a_f_140506_3	Barca/2.0.xxxx	Barca Pro email & PIM software	B		http://www.pocosystems.com/home/index.php?option=com_content&task=view&id=105&Itemid=54	
id_a_f_120206_2	BarcaPro/1.4.xxxx	Barca Pro email & PIM software	B		http://www.pocosystems.com/home/index.php?option=com_content&task=view&id=105&Itemid=54	
id_a_f_102	BarraHomeCrawler (albertof@barrahome.org)	Barrahome crawler	R	64.246.56.xx	http://www.barrahome.org	
id_a_f_011006_1	bCentral Billing Post-Process	Unknown user agent from Microsoft		204.71.191.1xx		
id_a_f_103	bdcindexer_2.6.2 (research@bdc)	Business.com robot	R	208.144.233.xxx	http://www.business.com	
id_a_f_104	BDFetch	Brandimensions Brand Protection robot	R		http://www.brandimensions.com/	
id_a_f_105	BDNcentral Crawler v2.3 [en] (http://www.bdncentral.com/robot.html) (X11; I; Linux 2.0.44 i686)	Bdncentral Sitesearch robot	R		http://www.bdncentral.com	
id_a_f_111205_3	BeamMachine/0.5 (dead link remover of www.beammachine.net)	beammachine web directory (Germany) link checking	R C		http://www.beammachine.net/de/	
id_a_f_106	beautybot/1.0 (+http://www.uchoose.de/crawler/beautybot/)	Beauty robot for Cosmoty - German beauty and wellness search	R		http://www.cosmoty.de	http://www.uchoose.de/Projekte/Lifestyle/beauty/
id_a_f_230406_1	BebopBot/2.5.1 ( crawler http://www.apassion4jazz.net/bebopbot.html )	A Passion for Jazz music related search robot	R	68.6.204.2xx	http://www.apassion4jazz.net/	
id_a_f_107	BeebwareDirectory/v0.01	LinkcheckerBeepware (site is down) web directory link checking	C		http://directory.beebware.co.uk	
id_a_f_108	Big Brother (http://pauillac.inria.fr/~fpottier/)	Big Brother link checking tool	C		http://pauillac.inria.fr	
id_a_f_130606_1	Big Fish v1.0	GoonGee.com link popularity checking	C	216.89.111.x	http://www.goongee.com/big-fish/	
id_a_f_109	BigBrother/1.6e	BB4 network monitoring	C		http://www.bb4.com	
id_a_f_110	BigCliqueBOT/1.03-dev (bigclicbot; http://www.bigclique.com; bot@bigclique.com)	BigClique Search robot	R		http://www.bigclique.com	
id_a_f_080206_4	BIGLOTRON (Beta 2;GNU/Linux)	Biglotron search (France) robot	R		http://www.biglotron.com/	
id_a_f_171106_2	Bigsearch.ca/Nutch-x.x-dev (Bigsearch.ca Internet Spider; http://www.bigsearch.ca/; info@enhancededge.com)	Bigsearch.ca search robot	R	72.0.207.1xx	http://www.bigsearch.ca/	
id_a_f_111	Bilbo/2.3b-UNIX	Bilbo - web frontend for the Nessus Security Scanner	C		http://home.broadpark.no/%7Etnilsen-1/Linux/Bilbo_-_Nessus_WEB/bilbo_-_nessus_web.html	
id_a_f_170806_1	BilgiBetaBot/0.8-dev (bilgi.com (Beta) ; http://lucene.apache.org/nutch/bot.html; nutch-agent@lucene.apache.org)	Bilgi.com (Beta) search robot - Turkey	R	212.156.230.2xx	http://www.bilgi.com/	
id_a_f_080607_1	BilgiBot/1.0(beta) (http://www.bilgi.com/; bilgi at bilgi dot com)	Bilgi.com (Beta) search robot - Turkey	R	212.156.230.2xx	http://www.bilgi.com/	
id_a_f_112	billbot wjj@cs.cmu.edu	Carnegie Mellon School robot/link checking ?	C		http://www.cs.cmu.edu	
id_a_f_050206_3	Bitacle bot/1.1	Bitacle Blog Search Archive robot	R		http://bitacle.org/	
id_a_f_050206_2	Bitacle Robot (V:1.0;) (http://www.bitacle.com)	Bitacle Blog Search Archive robot	R		http://bitacle.org/	
id_a_f_113	Biyubi/x.x (Sistema Fenix; G11; Familia Toledo; es-mx)	Biyubi Navigator - Mexican browser for Fenix OS	B		http://www.biyubi.com	
id_a_f_114	BlackBerry7520/4.0.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 UP.Browser/5.0.3.3 UP.Link/5.1.2.12 (Google WAP Proxy/1.0)	Blackberry Wireless Internet browser via Google WAP Proxy	B P		http://www.blackberry.com/products/service/web.shtml	http://www.openwave.com
id_a_f_115	BlackWidow	FS Consulting (was www.fsconsult.net) Black Widow web crawler	R			
id_a_f_010306_1	BlackWidow	BlackWidow web site scanner / downloading tool	D		http://www.softbytelabs.com/BlackWidow	
id_a_f_116	Blaiz-Bee/1.0 (+http://www.blaiz.net)	Blaiz Enterprises RawGrunt search	R	203.87.123.1xx	http://www.rawgrunt.com/	http://www.blaiz.net
id_a_f_160307_1	Blaiz-Bee/2.00.8222 (BE Internet Search Engine http://www.rawgrunt.com)	Blaiz Enterprises RawGrunt search	R	203.87.123.1xx	http://www.rawgrunt.com/	http://www.blaiz.net
id_a_f_240706_1	Blaiz-Bee/2.00.xxxx (+http://www.blaiz.net)	Blaiz Enterprises RawGrunt search	R	203.87.123.1xx	http://www.rawgrunt.com/	http://www.blaiz.net
id_a_f_117	BlitzBOT@tricus.net	Blitzsuche Germany robot	R		http://blitzsuche.rp-online.de/	
id_a_f_118	BlitzBOT@tricus.net (Mozilla compatible)	Blitzsuche Germany robot	R		http://blitzsuche.rp-online.de/	
id_a_f_090307_1	BlockNote.Net	BlockNote web page editor	B		http://blocknote.net/	
id_a_f_119	BlogBot/1.x	blogdex robot from MIT.edu	R		http://blogdex.media.mit.edu/	
id_a_f_071206_1	BlogBridge 2.13 (http://www.blogbridge.com/)	BlogBridge RSS reader	B		http://www.blogbridge.com/	
id_a_f_120	Bloglines Title Fetch/1.0 (http://www.bloglines.com)	Bloglines article search	R	65.214.44.xx	http://www.bloglines.com	
id_a_f_250907_1	Bloglines-Images/0.1 (http://www.bloglines.com)	Bloglines graphics crawler	R	65.214.44.xx	http://www.bloglines.com	
id_a_f_011108_2	Bloglines/3.1 (http://www.bloglines.com)	Bloglines news crawler	R	65.214.44.xx	http://www.bloglines.com	
id_a_f_071206_2	BlogMap (http://www.feedmap.net)	FeedMap / BlogMap geo coding service	C		http://www.feedmap.net/BlogMap/	
id_a_f_121	Blogpulse (info@blogpulse.com)	Intelliseek's BlogPulse blog search	R	64.158.138.xx	http://www.blogpulse.com	
id_a_f_050208_2	BlogPulseLive (support@blogpulse.com)	Intelliseek's BlogPulse blog search	R	64.158.138.xx	http://www.blogpulse.com	
id_a_f_161206_2	BlogSearch/1.x +http://www.icerocket.com/	IceRocket Web search robot	R	s. also BlogzIce ...	http://www.icerocket.com	
id_a_f_020707_1	blogsearchbot-pumpkin-3	Art of Computing blog search project	R	88.198.44.2xx	http://artofcomputing.net/blog/?p=4	
id_a_f_241205_1	"BlogsNowBot, V 2.01 (+http://www.blogsnow.com/)"	BlogsNow realtime link tracker robot	R		http://www.blogsnow.com/	
id_a_f_261107_1	BlogVibeBot-v1.1 (spider@blogvibe.nl)	BlogVipe news and Blog crawler (Netherlands)	R	212.61.21.xx	http://www.blogvibe.nl	
id_a_f_122	blogWatcher_Spider/0.1 (http://www.lr.pi.titech.ac.jp/blogWatcher/)	blogWatcher robot from Okumura Group Tokyo (131.112.182.xxx)	R		http://www.lr.pi.titech.ac.jp	
